"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"2437","0.704","0.152","0.738","0.0","79.78473394","0.0","0","0.0","interacts with","Sell (interacts with) Spn","0","10090.ENSMUSP00000027871","10090.ENSMUSP00000049534","0","false","interacts with","Sell (interacts with) Spn"
"1174","0.11","0.581","0.618","0.0","25.06300064","0.058","0","0.0","interacts with","Hck (interacts with) Ncf2","0","10090.ENSMUSP00000003370","10090.ENSMUSP00000140404","0","false","interacts with","Hck (interacts with) Ncf2"
"2781","0.0","0.0","0.9","0.9","18.39207935","0.0","0","0.0","interacts with","Cd47 (interacts with) Stk10","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000099885","0","false","interacts with","Cd47 (interacts with) Stk10"
"2436","0.48","0.063","0.948","0.9","34.41412138","0.059","0","0.0","interacts with","Sell (interacts with) Tlr2","0","10090.ENSMUSP00000027871","10090.ENSMUSP00000029623","0","false","interacts with","Sell (interacts with) Tlr2"
"1173","0.287","0.563","0.684","0.0","32.92197223","0.066","0","0.0","interacts with","Hck (interacts with) Themis2","0","10090.ENSMUSP00000003370","10090.ENSMUSP00000036945","0","false","interacts with","Hck (interacts with) Themis2"
"2780","0.183","0.0","0.914","0.9","35.51127152","0.0","0","0.0","interacts with","Cd47 (interacts with) Serpinb6b","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000105922","0","false","interacts with","Cd47 (interacts with) Serpinb6b"
"2435","0.523","0.182","0.957","0.9","38.45897615","0.0","0","0.0","interacts with","Sell (interacts with) Selplg","0","10090.ENSMUSP00000027871","10090.ENSMUSP00000098436","0","false","interacts with","Sell (interacts with) Selplg"
"2434","0.699","0.078","0.97","0.9","33.36769644","0.048","0","0.0","interacts with","Sell (interacts with) Serpinb6b","0","10090.ENSMUSP00000027871","10090.ENSMUSP00000105922","0","false","interacts with","Sell (interacts with) Serpinb6b"
"2779","0.235","0.058","0.927","0.9","59.80879789","0.118","0","0.0","interacts with","Cd47 (interacts with) Ptk2b","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000106750","0","false","interacts with","Cd47 (interacts with) Ptk2b"
"1170","0.522","0.13","0.868","0.8","26.21598152","0.201","0","0.746","interacts with","Hck (interacts with) Ptk2b","0","10090.ENSMUSP00000003370","10090.ENSMUSP00000106750","0","false","interacts with","Hck (interacts with) Ptk2b"
