"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","weight"
"143741","36.64126344","interacts with","ENSMUSG00000042507 (interacts with) ENSMUSG00000027809","false","interacts with","ENSMUSG00000042507 (interacts with) ENSMUSG00000027809","0.0203576880700677"
"151934","95.85511863","interacts with","ENSMUSG00000025358 (interacts with) ENSMUSG00000072944","false","interacts with","ENSMUSG00000025358 (interacts with) ENSMUSG00000072944","0.0154140927450836"
"151932","74.12791639","interacts with","ENSMUSG00000034430 (interacts with) ENSMUSG00000045284","false","interacts with","ENSMUSG00000034430 (interacts with) ENSMUSG00000045284","0.0154143994889872"
"143745","56.84495856","interacts with","ENSMUSG00000021540 (interacts with) ENSMUSG00000061859","false","interacts with","ENSMUSG00000021540 (interacts with) ENSMUSG00000061859","0.0203556528147409"
"143743","30.92993306","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000057531","false","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000057531","0.0203573421998922"
"151939","29.33083965","interacts with","ENSMUSG00000075595 (interacts with) ENSMUSG00000050627","false","interacts with","ENSMUSG00000075595 (interacts with) ENSMUSG00000050627","0.0154117694999773"
"151945","48.27424558","interacts with","ENSMUSG00000031622 (interacts with) ENSMUSG00000020190","false","interacts with","ENSMUSG00000031622 (interacts with) ENSMUSG00000020190","0.0154075252891782"
"143752","40.55125715","interacts with","ENSMUSG00000002249 (interacts with) ENSMUSG00000021280","false","interacts with","ENSMUSG00000002249 (interacts with) ENSMUSG00000021280","0.0203518695694772"
"151944","58.07862583","interacts with","ENSMUSG00000074102 (interacts with) ENSMUSG00000031622","false","interacts with","ENSMUSG00000074102 (interacts with) ENSMUSG00000031622","0.0154084240518302"
"151949","38.1666464","interacts with","ENSMUSG00000021540 (interacts with) ENSMUSG00000039349","false","interacts with","ENSMUSG00000021540 (interacts with) ENSMUSG00000039349","0.0154065219631013"
"151950","173.33746847","interacts with","ENSMUSG00000074102 (interacts with) ENSMUSG00000027579","false","interacts with","ENSMUSG00000074102 (interacts with) ENSMUSG00000027579","0.0154064349463005"
"143755","26.39818765","interacts with","ENSMUSG00000053754 (interacts with) ENSMUSG00000024736","false","interacts with","ENSMUSG00000053754 (interacts with) ENSMUSG00000024736","0.0203508244659691"
"151951","21.18414881","interacts with","ENSMUSG00000039501 (interacts with) ENSMUSG00000018906","false","interacts with","ENSMUSG00000039501 (interacts with) ENSMUSG00000018906","0.0154060934086975"
"151957","111.79629244","interacts with","ENSMUSG00000031162 (interacts with) ENSMUSG00000024953","false","interacts with","ENSMUSG00000031162 (interacts with) ENSMUSG00000024953","0.0154042496359871"
"143770","53.57949753","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000068048","false","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000068048","0.0203341358553567"
"151959","42.40953894","interacts with","ENSMUSG00000055817 (interacts with) ENSMUSG00000028124","false","interacts with","ENSMUSG00000055817 (interacts with) ENSMUSG00000028124","0.0154040904333468"
"143773","31.39366053","interacts with","ENSMUSG00000006200 (interacts with) ENSMUSG00000026094","false","interacts with","ENSMUSG00000006200 (interacts with) ENSMUSG00000026094","0.0203309612388597"
