"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"39135","6","3.60199005","0.05425708","0.27762431","0.2","5","7","false","Nkx2-3","8.4","5","0","0","0.76345545","false","0","Nkx2-3","11624","0.26666667"
"35041","6","3.73631841","0.00995025","0.26764314","0.6","5","8","false","Arhgap23","17.8","5","0","0","0.75124378","false","0","Arhgap23","1556","0.50285714"
"35045","6","4.24875622","0.0","0.235363","1.0","2","8","false","Asap1","5.5","2","0","0","0.70465853","false","0","Asap1","0","0.61111111"
"35048","6","4.73134328","0.0","0.21135647","0.0","1","9","false","Ccdc51","5.0","1","0","0","0.66078697","false","0","Ccdc51","0","0.0"
"34025","6","3.34328358","0.03306936","0.29910714","0.19230769","13","7","false","Acta1","8.69230769","13","0","0","0.78697422","false","0","Acta1","8230","0.24660633"
"34028","6","4.10945274","0.00997034","0.2433414","0.33333333","4","7","false","Mkl2","11.0","4","0","0","0.71732248","false","0","Mkl2","1424","0.48863636"
"41197","6","6.36318408","0.0","0.15715403","0.0","1","11","false","Oxsr1","3.0","1","0","0","0.51243781","false","0","Oxsr1","0","0.0"
"34030","6","4.09452736","0.00150492","0.24422843","0.6","5","7","false","Smtn","12.4","5","0","0","0.71867933","false","0","Smtn","522","0.496"
"35054","6","3.73631841","2.488E-5","0.26764314","0.9","5","8","false","Fgd4","18.6","5","0","0","0.75124378","false","0","Fgd4","4","0.51666667"
"38128","6","4.8358209","0.0","0.20679012","0.0","1","8","false","Fabp3","11.0","1","0","0","0.65128901","false","0","Fabp3","0","0.0"
"34032","6","3.43781095","0.01699922","0.29088278","0.59090909","12","7","false","Mylk","12.5","12","0","0","0.77838082","false","0","Mylk","4958","0.31041667"
"35056","6","3.70149254","0.01014925","0.27016129","0.28571429","7","8","false","Arhgap28","14.0","7","0","0","0.75440977","false","0","Arhgap28","4410","0.36679537"
"39153","6","4.11940299","0.0","0.24275362","0.0","1","8","false","Rasd1","14.0","1","0","0","0.71641791","false","0","Rasd1","0","0.0"
"35058","6","4.66666667","4.146E-5","0.21428571","0.0","3","9","false","Tns3","6.66666667","3","0","0","0.66666667","false","0","Tns3","10","0.80952381"
"35060","6","3.70149254","0.01856422","0.27016129","0.4","6","8","false","Arhgap29","15.5","6","0","0","0.75440977","false","0","Arhgap29","3070","0.38888889"
"37621","6","6.14925373","0.0","0.16262136","0.0","1","10","false","Mpp1","4.0","1","0","0","0.53188602","false","0","Mpp1","0","0.0"
"35062","6","4.66666667","4.146E-5","0.21428571","0.0","3","9","false","Tns1","6.66666667","3","0","0","0.66666667","false","0","Tns1","10","0.80952381"
"37110","6","4.79104478","0.0","0.20872274","0.0","1","8","false","Creld1","6.0","1","0","0","0.65535957","false","0","Creld1","0","0.0"
"34040","6","3.99502488","4.8849E-4","0.25031133","0.33333333","4","7","false","Phactr2","15.5","4","0","0","0.72772501","false","0","Phactr2","292","0.58653846"
"35064","6","4.66666667","4.146E-5","0.21428571","0.0","3","9","false","Tenc1","6.66666667","3","0","0","0.66666667","false","0","Tenc1","10","0.80952381"
"36602","6","4.11940299","0.0","0.24275362","0.0","1","8","false","Clec1b","11.0","1","0","0","0.71641791","false","0","Clec1b","0","0.0"
"34044","6","3.99502488","4.8849E-4","0.25031133","0.33333333","4","7","false","Mtss1l","15.5","4","0","0","0.72772501","false","0","Mtss1l","292","0.58653846"
"35069","6","4.59701493","0.00126642","0.21753247","0.0","2","9","false","Ptpn13","4.0","2","0","0","0.67299864","false","0","Ptpn13","248","0.5"
"39166","6","4.19402985","0.00995025","0.23843416","0.0","2","8","false","Metrnl","8.5","2","0","0","0.70963365","false","0","Metrnl","1344","0.5"
"34046","6","3.42288557","0.05046954","0.29215116","0.40952381","15","7","false","Myl9","11.2","15","0","0","0.77973768","false","0","Myl9","12012","0.24202899"
